Test(0);NodesCount: 768;ChanceToJoin: 72;IsPlanar: True;DistanceBetweenPoints: 73
Test(29);NodesCount: 740;ChanceToJoin: 75;IsPlanar: True;DistanceBetweenPoints: 61
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0062864;697;26;47
AStar;00:00:00.0108279;297;28;47
DIJKSTRA;00:00:00.0134944;691;26;47
RandomizedWalk;00:00:00.0295605;326;0;85
RandomizedDFS;00:00:00.0126894;618;78;111
BidirectionalBFS;00:00:00.0462901;328;37;47
BidirectionalDFS;00:00:00.0427679;207;46;63
DFS;00:00:00.0011576;114;32;73
;;;;
Test(30);NodesCount: 624;ChanceToJoin: 79;IsPlanar: True;DistanceBetweenPoints: 53
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0039014;457;24;31
AStar;00:00:00.0073435;193;27;31
DIJKSTRA;00:00:00.0095810;443;24;31
RandomizedWalk;00:00:00.1287645;610;0;55
RandomizedDFS;00:00:00.0013354;58;20;35
BidirectionalBFS;00:00:00.1269430;210;35;31
BidirectionalDFS;00:00:00.1246324;196;40;63
DFS;00:00:00.0008937;96;29;63
;;;;
Test(31);NodesCount: 727;ChanceToJoin: 69;IsPlanar: True;DistanceBetweenPoints: 76
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0030200;378;20;44
AStar;00:00:00.0045301;141;29;44
DIJKSTRA;00:00:00.0065110;365;19;44
RandomizedWalk;00:00:00.0159314;173;0;72
RandomizedDFS;00:00:00.0053810;279;68;164
BidirectionalBFS;00:00:00.0188785;294;37;44
BidirectionalDFS;00:00:00.0159482;422;52;100
DFS;00:00:00.0018999;195;44;110
;;;;
Test(32);NodesCount: 715;ChanceToJoin: 59;IsPlanar: True;DistanceBetweenPoints: 82
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0057074;671;43;29
AStar;00:00:00.0054708;151;22;29
DIJKSTRA;00:00:00.0129291;653;44;29
RandomizedWalk;00:00:00.1430227;630;0;33
RandomizedDFS;00:00:00.0062038;319;93;169
BidirectionalBFS;00:00:00.1446548;218;36;29
BidirectionalDFS;00:00:00.1407460;334;77;105
DFS;00:00:00.0062210;648;108;81
;;;;
Test(33);NodesCount: 710;ChanceToJoin: 76;IsPlanar: True;DistanceBetweenPoints: 52
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0034590;422;30;25
AStar;00:00:00.0026504;80;18;25
DIJKSTRA;00:00:00.0097704;395;30;25
RandomizedWalk;00:00:00.0667383;374;0;25
RandomizedDFS;00:00:00.0054492;279;60;121
BidirectionalBFS;00:00:00.0641652;233;35;25
BidirectionalDFS;00:00:00.0612497;71;14;29
DFS;00:00:00.0006339;63;24;49
;;;;
Test(34);NodesCount: 806;ChanceToJoin: 30;IsPlanar: True;DistanceBetweenPoints: 47
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0022744;282;24;24
AStar;00:00:00.0025081;88;17;24
DIJKSTRA;00:00:00.0046318;271;23;24
RandomizedWalk;00:00:00.0522692;233;0;32
RandomizedDFS;00:00:00.0051456;264;35;36
BidirectionalBFS;00:00:00.0490152;202;33;24
BidirectionalDFS;00:00:00.0462922;374;46;56
DFS;00:00:00.0015984;186;21;74
;;;;
Test(35);NodesCount: 838;ChanceToJoin: 63;IsPlanar: True;DistanceBetweenPoints: 74
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0050157;629;33;38
AStar;00:00:00.0081570;220;29;38
DIJKSTRA;00:00:00.0132268;625;32;38
RandomizedWalk;00:00:00.0222173;229;0;62
RandomizedDFS;00:00:00.0069288;318;83;132
BidirectionalBFS;00:00:00.0227611;295;36;38
BidirectionalDFS;00:00:00.0191066;706;73;158
DFS;00:00:00.0058707;638;103;190
;;;;
Test(36);NodesCount: 711;ChanceToJoin: 56;IsPlanar: True;DistanceBetweenPoints: 63
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0027868;364;25;33
AStar;00:00:00.0047877;147;19;33
DIJKSTRA;00:00:00.0063347;342;26;33
RandomizedWalk;00:00:00.0529909;239;0;45
RandomizedDFS;00:00:00.0089248;482;72;159
BidirectionalBFS;00:00:00.0623877;214;27;33
BidirectionalDFS;00:00:00.0603974;536;59;147
DFS;00:00:00.0021719;270;49;97
;;;;
Test(37);NodesCount: 865;ChanceToJoin: 38;IsPlanar: True;DistanceBetweenPoints: 41
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0035281;411;34;25
AStar;00:00:00.0021232;68;17;25
DIJKSTRA;00:00:00.0078157;372;33;25
RandomizedWalk;00:00:00.0807463;528;0;33
RandomizedDFS;00:00:00.0053920;270;59;99
BidirectionalBFS;00:00:00.0813687;104;17;25
BidirectionalDFS;00:00:00.0789868;229;40;89
DFS;00:00:00.0033286;302;53;121
;;;;
Test(38);NodesCount: 740;ChanceToJoin: 57;IsPlanar: True;DistanceBetweenPoints: 81
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0031846;382;22;35
AStar;00:00:00.0059543;170;22;35
DIJKSTRA;00:00:00.0070418;369;23;35
RandomizedWalk;00:00:00.0968435;372;0;55
RandomizedDFS;00:00:00.0012974;62;44;61
BidirectionalBFS;00:00:00.0959511;334;32;35
BidirectionalDFS;00:00:00.0938222;429;67;63
DFS;00:00:00.0044654;469;91;133
;;;;
Test(39);NodesCount: 938;ChanceToJoin: 42;IsPlanar: True;DistanceBetweenPoints: 44
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0052224;594;28;41
AStar;00:00:00.0100716;273;35;41
DIJKSTRA;00:00:00.0108885;566;30;41
RandomizedWalk;00:00:00.0733127;552;0;45
RandomizedDFS;00:00:00.0098528;498;91;189
BidirectionalBFS;00:00:00.0676700;292;27;41
BidirectionalDFS;00:00:00.0632749;651;62;173
DFS;00:00:00.0041712;433;81;227
;;;;
Test(40);NodesCount: 692;ChanceToJoin: 65;IsPlanar: True;DistanceBetweenPoints: 49
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0026556;240;26;22
AStar;00:00:00.0022480;61;15;22
DIJKSTRA;00:00:00.0046281;203;28;22
RandomizedWalk;00:00:00.1455796;488;0;26
RandomizedDFS;00:00:00.0150363;651;89;32
BidirectionalBFS;00:00:00.1462411;104;18;22
BidirectionalDFS;00:00:00.1429032;105;20;48
DFS;00:00:00.0077534;610;66;122
;;;;
Test(41);NodesCount: 580;ChanceToJoin: 33;IsPlanar: True;DistanceBetweenPoints: 56
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0040840;430;25;33
AStar;00:00:00.0075818;198;24;33
DIJKSTRA;00:00:00.0084259;421;24;33
RandomizedWalk;00:00:00.0154906;275;0;33
RandomizedDFS;00:00:00.0101425;485;67;79
BidirectionalBFS;00:00:00.0190600;103;16;33
BidirectionalDFS;00:00:00.0170438;337;54;61
DFS;00:00:00.0028291;173;27;77
;;;;
Test(42);NodesCount: 839;ChanceToJoin: 71;IsPlanar: True;DistanceBetweenPoints: 77
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0079700;685;33;35
AStar;00:00:00.0115240;254;34;35
DIJKSTRA;00:00:00.0142342;657;33;35
RandomizedWalk;00:00:00.0744746;340;0;43
RandomizedDFS;00:00:00.0100402;494;103;153
BidirectionalBFS;00:00:00.0913853;277;36;35
BidirectionalDFS;00:00:00.0887416;309;67;85
DFS;00:00:00.0053546;483;74;47
;;;;
Test(43);NodesCount: 810;ChanceToJoin: 65;IsPlanar: True;DistanceBetweenPoints: 45
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0054626;630;38;32
AStar;00:00:00.0096168;235;29;32
DIJKSTRA;00:00:00.0131818;611;37;32
RandomizedWalk;00:00:00.0117820;136;0;36
RandomizedDFS;00:00:00.0148404;759;110;62
BidirectionalBFS;00:00:00.0256156;279;36;32
BidirectionalDFS;00:00:00.0226840;187;43;82
DFS;00:00:00.0030100;289;77;188
;;;;
Test(44);NodesCount: 906;ChanceToJoin: 53;IsPlanar: True;DistanceBetweenPoints: 73
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0045047;522;29;34
AStar;00:00:00.0036082;97;22;34
DIJKSTRA;00:00:00.0092208;499;30;34
RandomizedWalk;00:00:00.0294734;341;0;64
RandomizedDFS;00:00:00.0058596;267;40;76
BidirectionalBFS;00:00:00.0346477;372;37;34
BidirectionalDFS;00:00:00.0321867;305;59;90
DFS;00:00:00.0015338;169;46;100
;;;;
Test(45);NodesCount: 757;ChanceToJoin: 60;IsPlanar: True;DistanceBetweenPoints: 75
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0052452;605;36;38
AStar;00:00:00.0101489;255;32;38
DIJKSTRA;00:00:00.0110160;590;34;38
RandomizedWalk;00:00:00.0540517;360;0;78
RandomizedDFS;00:00:00.0145168;730;73;60
BidirectionalBFS;00:00:00.0682066;298;41;38
BidirectionalDFS;00:00:00.0657311;357;44;78
DFS;00:00:00.0022138;265;29;82
;;;;
Test(46);NodesCount: 779;ChanceToJoin: 70;IsPlanar: True;DistanceBetweenPoints: 71
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0042877;500;29;38
AStar;00:00:00.0043229;138;23;38
DIJKSTRA;00:00:00.0085968;474;28;38
RandomizedWalk;00:00:00.0048151;109;0;40
RandomizedDFS;00:00:00.0069244;383;77;108
BidirectionalBFS;00:00:00.0190070;202;24;38
BidirectionalDFS;00:00:00.0169385;193;39;76
DFS;00:00:00.0036855;404;76;136
;;;;
Test(47);NodesCount: 785;ChanceToJoin: 47;IsPlanar: True;DistanceBetweenPoints: 53
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0040760;475;34;32
AStar;00:00:00.0050916;161;22;32
DIJKSTRA;00:00:00.0080472;452;36;32
RandomizedWalk;00:00:00.0720631;241;0;42
RandomizedDFS;00:00:00.0056190;306;46;94
BidirectionalBFS;00:00:00.0723402;210;27;32
BidirectionalDFS;00:00:00.0693673;183;19;40
DFS;00:00:00.0075020;771;53;58
;;;;
Test(48);NodesCount: 491;ChanceToJoin: 72;IsPlanar: True;DistanceBetweenPoints: 77
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0042465;478;24;42
AStar;00:00:00.0104743;277;23;42
DIJKSTRA;00:00:00.0090104;474;25;42
RandomizedWalk;00:00:00.0411854;346;0;62
RandomizedDFS;00:00:00.0069629;343;69;80
BidirectionalBFS;00:00:00.0413556;245;28;42
BidirectionalDFS;00:00:00.0377608;246;53;120
DFS;00:00:00.0035159;359;72;114
;;;;
Test(49);NodesCount: 526;ChanceToJoin: 48;IsPlanar: True;DistanceBetweenPoints: 77
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0040916;483;23;36
AStar;00:00:00.0124113;292;30;36
DIJKSTRA;00:00:00.0103907;481;23;36
RandomizedWalk;00:00:00.0461708;393;0;38
RandomizedDFS;00:00:00.0018543;87;41;76
BidirectionalBFS;00:00:00.0507986;336;42;36
BidirectionalDFS;00:00:00.0476760;222;31;88
DFS;00:00:00.0042973;424;65;78
;;;;
Test(50);NodesCount: 781;ChanceToJoin: 67;IsPlanar: True;DistanceBetweenPoints: 93
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
